url,date,contributors,nMaintainers,awlhits,awlmisses,agrhits,agrmisses
https://github.com/Homebrew/brew,2023-08-31 12:31:29.006222,912,30,2,0,2,1
https://github.com/v8/v8,2023-08-31 12:51:40.328251,462,38,12,8,14,6
https://github.com/fluxcd/website,2023-08-31 14:31:18.292697,200,4,0,1,0,1
https://github.com/opensearch-project/opensearch-dashboards-test-library,2023-08-31 14:31:21.890151,11,13,1,0,1,0
https://github.com/RedHatQE/widgetastic.core,2023-08-31 14:31:27.789867,23,3,0,2,0,2
https://github.com/go-gitea/gitea,2023-08-31 14:33:40.630038,1252,57,4,0,4,0
https://github.com/opencontainers/runc,2023-08-31 14:37:37.999214,346,9,3,2,2,2
https://github.com/containernetworking/cni,2023-08-31 14:38:58.6470827,141,7,1,1,1,1
https://github.com/moby/libnetwork,2023-08-31 14:39:45.219587,207,17,1,1,1,1
https://github.com/milvus-io/milvus,2023-08-31 14:43:08.910305,222,6,1,7,1,8
